insert into proveedores(id_proveedor,nombre,pais) values
175,Industrial Europa 0175,Alemania
176,Logistica Partners 0176,Portugal
177,Almacen Central 0177,Portugal
178,Almacen Central 0178,Italia
179,Tecno Partners 0179,Espana
180,Tecno Europa 0180,Espana
181,Global Partners 0181,Espana
182,Almacen Central 0182,Espana
183,Logistica Direct 0183,Espana
184,Distribuciones Premium 0184,Italia
185,Tecno Premium 0185,Portugal
186,Global Direct 0186,Portugal
187,Global Central 0187,Espana
188,Logistica Premium 0188,Espana
189,Logistica Premium 0189,Espana
190,Industrial Express 0190,Alemania
191,Comercial Partners 0191,China
192,Global Group 0192,Mexico
193,Distribuciones Premium 0193,Portugal
194,Suministros Express 0194,EEUU
195,Suministros Premium 0195,Polonia
196,Tecno Europa 0196,Espana
197,Logistica Direct 0197,Paises Bajos
198,Distribuciones Premium 0198,Portugal
199,Suministros Iberica 0199,Espana
200,Industrial Europa 0200,Mexico
201,Industrial Europa 0201,China
202,Global Europa 0202,Francia
203,Suministros Direct 0203,EEUU
204,Comercial Group 0204,Portugal
205,Comercial Partners 0205,Paises Bajos
206,Almacen Direct 0206,Italia
207,Distribuciones Direct 0207,Espana
208,Logistica Premium 0208,Italia
209,Global Europa 0209,EEUU
210,Tecno Group 0210,Italia
211,Distribuciones Express 0211,Espana
212,Industrial Express 0212,Paises Bajos
213,Global Iberica 0213,Espana
214,Global Premium 0214,Portugal
215,Industrial Iberica 0215,EEUU
216,Global Group 0216,Italia
217,Distribuciones Partners 0217,Polonia
218,Logistica Partners 0218,Espana
219,Comercial Iberica 0219,Espana
220,Suministros Central 0220,China
221,Distribuciones Premium 0221,Portugal
222,Logistica Partners 0222,Francia
223,Distribuciones Partners 0223,China
224,Global Partners 0224,Alemania
225,Distribuciones Central 0225,Italia
226,Distribuciones Direct 0226,Espana
227,Distribuciones Europa 0227,EEUU
228,Tecno Partners 0228,Francia
229,Logistica Group 0229,Espana
230,Industrial Central 0230,Espana
231,Comercial Partners 0231,Francia
232,Comercial Direct 0232,Italia
233,Comercial Partners 0233,Francia
234,Almacen Group 0234,Espana
235,Tecno Express 0235,Francia
236,Almacen Group 0236,Paises Bajos
237,Suministros Partners 0237,Polonia
238,Global Central 0238,Francia
239,Suministros Direct 0239,China
240,Suministros Iberica 0240,Polonia
241,Global Group 0241,Espana
242,Almacen Iberica 0242,Espana
243,Global Central 0243,Francia
244,Suministros Express 0244,Alemania
245,Suministros Partners 0245,China
246,Global Iberica 0246,Francia
247,Logistica Partners 0247,Paises Bajos
248,Global Direct 0248,Espana
249,Distribuciones Partners 0249,Espana
250,Suministros Partners 0250,Paises Bajos
251,Industrial Central 0251,Mexico
252,Suministros Central 0252,Espana
253,Comercial Partners 0253,Espana
254,Tecno Partners 0254,Espana
255,Industrial Iberica 0255,Espana
256,Logistica Partners 0256,Italia
257,Logistica Iberica 0257,Espana
258,Industrial Europa 0258,Espana
259,Logistica Express 0259,Mexico
260,Comercial Group 0260,Polonia
261,Tecno Europa 0261,Espana
262,Industrial Direct 0262,Mexico
263,Comercial Premium 0263,Espana
264,Industrial Direct 0264,Portugal
265,Comercial Central 0265,Espana
266,Distribuciones Partners 0266,Espana
267,Tecno Europa 0267,Francia
268,Tecno Direct 0268,Espana
269,Almacen Central 0269,Espana
270,Logistica Premium 0270,Espana
271,Suministros Express 0271,Espana
272,Logistica Partners 0272,Portugal
273,Tecno Central 0273,Espana
274,Logistica Express 0274,Espana
275,Comercial Premium 0275,Polonia
276,Tecno Direct 0276,Espana
277,Suministros Europa 0277,Espana
278,Distribuciones Group 0278,China
279,Tecno Europa 0279,Espana
280,Logistica Premium 0280,Italia
281,Logistica Iberica 0281,Espana
282,Comercial Partners 0282,Espana
283,Distribuciones Premium 0283,China
284,Logistica Europa 0284,Alemania
285,Global Premium 0285,Espana
286,Industrial Europa 0286,Paises Bajos
287,Logistica Partners 0287,Espana
288,Distribuciones Direct 0288,Espana
289,Almacen Direct 0289,Espana
290,Industrial Express 0290,Portugal
291,Global Direct 0291,Portugal
292,Almacen Direct 0292,Espana
293,Global Partners 0293,Francia
294,Suministros Premium 0294,Italia
295,Tecno Europa 0295,Italia
296,Suministros Central 0296,Italia
297,Comercial Premium 0297,Espana
298,Suministros Partners 0298,Espana
299,Industrial Direct 0299,EEUU
300,Suministros Group 0300,Paises Bajos
301,Comercial Direct 0301,Espana
302,Suministros Iberica 0302,Espana
303,Tecno Direct 0303,Portugal
304,Industrial Iberica 0304,Italia
305,Global Premium 0305,Francia
306,Distribuciones Direct 0306,Mexico
307,Logistica Partners 0307,Mexico
308,Suministros Iberica 0308,Polonia
309,Tecno Express 0309,Espana
310,Distribuciones Express 0310,Espana
311,Global Iberica 0311,Francia
312,Tecno Express 0312,Espana
313,Almacen Europa 0313,EEUU
314,Logistica Iberica 0314,Espana
315,Almacen Premium 0315,Alemania
316,Tecno Iberica 0316,Espana
317,Industrial Central 0317,Espana
318,Suministros Direct 0318,Francia
319,Distribuciones Express 0319,Espana
320,Comercial Premium 0320,Espana
321,Tecno Iberica 0321,Polonia
322,Comercial Iberica 0322,Francia
323,Industrial Direct 0323,Alemania
324,Logistica Central 0324,Polonia
325,Distribuciones Premium 0325,Espana
326,Global Europa 0326,China
327,Logistica Europa 0327,Espana
328,Logistica Iberica 0328,Francia
329,Industrial Premium 0329,Mexico
330,Industrial Central 0330,Portugal
331,Suministros Group 0331,Italia
332,Logistica Premium 0332,Espana
333,Comercial Iberica 0333,Paises Bajos
334,Almacen Partners 0334,Portugal
335,Almacen Central 0335,Espana
336,Global Iberica 0336,Polonia
337,Industrial Group 0337,Espana
338,Distribuciones Partners 0338,China
339,Comercial Central 0339,Portugal
340,Logistica Direct 0340,Espana
341,Suministros Premium 0341,Espana
342,Comercial Partners 0342,Espana
343,Distribuciones Europa 0343,Espana
344,Tecno Iberica 0344,Portugal
345,Tecno Central 0345,Espana
346,Distribuciones Europa 0346,Francia
347,Global Group 0347,Polonia
348,Distribuciones Europa 0348,Alemania
349,Global Express 0349,Espana
350,Tecno Partners 0350,Portugal
351,Comercial Express 0351,Espana
352,Global Direct 0352,Francia
353,Suministros Group 0353,Francia
354,Logistica Iberica 0354,Espana
355,Tecno Premium 0355,Portugal
356,Distribuciones Central 0356,Mexico
357,Industrial Express 0357,Italia
358,Logistica Central 0358,Portugal
359,Almacen Group 0359,Espana
360,Industrial Group 0360,Mexico
361,Comercial Premium 0361,Espana
362,Distribuciones Iberica 0362,Espana
363,Industrial Group 0363,Portugal
364,Global Central 0364,Francia
365,Logistica Europa 0365,Polonia
366,Global Group 0366,Paises Bajos
367,Industrial Express 0367,Espana
368,Logistica Partners 0368,Alemania
369,Comercial Partners 0369,Espana
370,Almacen Group 0370,Italia
371,Logistica Central 0371,Alemania
372,Logistica Direct 0372,Espana
373,Tecno Direct 0373,Espana
374,Almacen Central 0374,Paises Bajos
375,Comercial Iberica 0375,Espana
376,Suministros Group 0376,Polonia
377,Almacen Direct 0377,Francia
378,Suministros Premium 0378,Espana
379,Almacen Central 0379,Espana
380,Logistica Central 0380,Portugal
381,Almacen Partners 0381,Espana
382,Industrial Europa 0382,Espana
383,Logistica Express 0383,Francia
384,Almacen Iberica 0384,Francia
385,Logistica Partners 0385,Espana
386,Logistica Direct 0386,Portugal
387,Logistica Premium 0387,Espana
388,Tecno Central 0388,Francia
389,Comercial Express 0389,Espana
390,Suministros Group 0390,Espana
391,Global Express 0391,Paises Bajos
392,Global Express 0392,Espana
393,Industrial Europa 0393,China
394,Almacen Partners 0394,Espana
395,Global Iberica 0395,Espana
396,Global Partners 0396,China
397,Tecno Direct 0397,Polonia
398,Industrial Express 0398,Paises Bajos
399,Tecno Premium 0399,Espana
400,Almacen Direct 0400,Espana
401,Industrial Europa 0401,Alemania
402,Tecno Central 0402,Paises Bajos
403,Suministros Express 0403,Alemania
404,Suministros Central 0404,Polonia
405,Almacen Iberica 0405,Espana
406,Global Group 0406,Espana
407,Tecno Central 0407,Alemania
408,Comercial Express 0408,Italia
409,Distribuciones Europa 0409,Espana
410,Logistica Express 0410,Espana
411,Logistica Premium 0411,Polonia
412,Global Iberica 0412,Paises Bajos
413,Almacen Central 0413,Alemania
414,Distribuciones Partners 0414,Alemania
415,Logistica Iberica 0415,Espana
416,Suministros Direct 0416,EEUU
417,Logistica Central 0417,Espana
418,Logistica Central 0418,Francia
419,Comercial Iberica 0419,Portugal
420,Logistica Premium 0420,Espana
421,Logistica Direct 0421,Espana
422,Logistica Europa 0422,Italia
423,Tecno Central 0423,Espana
424,Logistica Iberica 0424,Espana
425,Industrial Express 0425,Paises Bajos
426,Suministros Iberica 0426,Francia
427,Global Central 0427,Portugal
428,Comercial Iberica 0428,Espana
429,Global Premium 0429,Alemania
430,Comercial Express 0430,Italia
431,Tecno Direct 0431,China
432,Tecno Group 0432,Espana
433,Global Direct 0433,China
434,Tecno Group 0434,Espana
435,Global Central 0435,Paises Bajos
436,Almacen Europa 0436,China
437,Almacen Express 0437,Espana
438,Distribuciones Europa 0438,Espana
439,Global Central 0439,Espana
440,Comercial Partners 0440,Alemania
441,Comercial Partners 0441,Alemania
442,Tecno Direct 0442,Espana
443,Distribuciones Premium 0443,Espana
444,Almacen Europa 0444,Francia
445,Comercial Group 0445,Alemania
446,Logistica Europa 0446,Espana
447,Industrial Group 0447,Espana
448,Almacen Group 0448,Espana
449,Industrial Group 0449,Mexico
450,Industrial Partners 0450,Italia
451,Distribuciones Iberica 0451,Francia
452,Suministros Express 0452,Espana
453,Almacen Iberica 0453,Espana
454,Almacen Iberica 0454,EEUU
455,Global Central 0455,Portugal
456,Almacen Central 0456,Espana
457,Distribuciones Direct 0457,Paises Bajos
458,Suministros Partners 0458,Espana
459,Global Europa 0459,Portugal
460,Suministros Direct 0460,Polonia
461,Almacen Partners 0461,Espana
462,Logistica Iberica 0462,Paises Bajos
463,Suministros Premium 0463,Portugal
464,Logistica Direct 0464,EEUU
465,Distribuciones Central 0465,Espana
466,Distribuciones Iberica 0466,Mexico
467,Suministros Express 0467,China
468,Logistica Direct 0468,Portugal
469,Comercial Iberica 0469,Portugal
470,Logistica Direct 0470,Portugal
471,Logistica Premium 0471,Francia
472,Suministros Premium 0472,Francia
473,Industrial Premium 0473,Mexico
474,Distribuciones Central 0474,Espana
475,Almacen Group 0475,Espana
476,Distribuciones Express 0476,Espana
477,Suministros Direct 0477,Espana
478,Distribuciones Partners 0478,Francia
479,Industrial Iberica 0479,Polonia
480,Almacen Direct 0480,Italia
481,Tecno Group 0481,Espana
482,Almacen Premium 0482,Francia
483,Logistica Iberica 0483,Espana
484,Tecno Central 0484,Mexico
485,Almacen Europa 0485,Italia
486,Logistica Direct 0486,Espana
487,Comercial Express 0487,Paises Bajos
488,Logistica Iberica 0488,Polonia
489,Distribuciones Group 0489,Italia
490,Tecno Central 0490,Espana
491,Comercial Central 0491,China
492,Comercial Partners 0492,Espana
493,Almacen Direct 0493,Italia
494,Industrial Partners 0494,China
495,Distribuciones Premium 0495,Espana
496,Logistica Europa 0496,Espana
497,Tecno Express 0497,Espana
498,Distribuciones Premium 0498,Espana
499,Industrial Europa 0499,EEUU
500,Global Group 0500,Espana
