id_producto,id_proveedor,precio_compra
139,196,23.95
139,166,17.69
139,14,15.97
140,3,9.46
141,50,3.10
142,2,21.03
143,1,7.75
143,3,6.87
144,9,11.58
144,19,12.50
145,1,8.46
146,472,18.61
146,6,18.70
147,55,3.74
148,8,16.82
148,18,17.56
148,43,15.39
149,2,11.24
149,262,11.50
150,105,12.17
151,1,94.04
152,34,10.84
153,3,23.75
153,51,26.60
154,2,26.69
155,1,33.04
155,34,36.13
155,7,28.49
156,17,11.84
156,11,10.22
156,5,11.84
157,20,6.55
157,7,6.55
158,460,87.73
158,325,126.54
159,4,8.32
160,66,34.99
160,203,33.27
160,20,40.60
160,23,27.96
161,1,112.31
161,3,89.28
161,5,100.88
161,7,98.97
162,8,8.42
162,3,13.10
162,12,10.85
163,8,133.61
163,1,126.53
163,268,90.99
163,5,124.72
164,27,6.06
164,108,4.22
164,22,3.77
165,1,3.17
165,9,3.53
165,7,3.09
166,1,9.25
166,2,11.20
166,9,10.77
166,208,9.53
166,22,12.80
167,8,21.92
167,5,28.47
168,1,34.33
168,2,43.78
168,7,51.41
169,1,14.50
169,5,16.78
169,465,19.53
169,58,17.82
169,61,18.77
170,1,7.34
170,2,10.20
170,19,10.01
171,1,33.94
171,3,20.87
171,5,21.71
172,18,18.91
173,155,25.64
174,1,15.47
175,5,34.72
176,2,7.17
176,3,6.02
177,1,55.87
177,2,61.39
177,43,51.89
177,5,57.55
178,1,13.10
178,4,13.46
179,2,26.23
180,24,6.67
180,2,6.67
181,1,6.29
182,1,56.62
182,10,73.01
182,6,60.45
183,1,20.49
183,242,29.66
183,12,25.16
183,4,33.08
184,35,9.09
184,5,7.04
185,3,30.26
185,6,27.43
186,1,6.61
186,138,5.34
186,4,5.17
187,224,28.82
187,2,22.71
187,5,24.56
188,3,49.36
189,43,62.50
190,9,10.16
191,9,46.88
191,12,34.89
192,1,92.23
193,1,113.13
194,1,20.06
194,324,15.41
194,8,14.07
194,14,14.19
194,15,13.91
195,1,65.76
195,68,58.84
196,4,3.20
197,288,48.89
197,2,49.00
197,138,49.88
197,17,53.04
197,407,54.31
198,63,8.62
199,10,19.10
200,3,31.94
200,5,34.12
201,280,3.00
201,82,2.66
202,1,6.72
203,1,48.97
203,2,65.21
204,32,15.91
204,51,19.03
204,3,13.29
205,32,16.03
205,13,18.63
206,2,8.02
207,8,6.00
207,2,6.12
208,2,22.03
209,93,17.50
210,123,37.40
210,4,38.85
211,2,37.68
211,29,40.41
212,181,43.81
213,196,6.40
214,178,4.84
214,7,6.22
215,5,10.61
216,1,43.14
217,1,8.95
217,3,13.14
218,196,28.72
218,5,28.47
219,1,25.43
220,9,66.54
221,1,28.01
222,219,13.26
223,16,38.90
223,1,33.11
224,28,13.07
224,23,13.11
225,1,107.33
226,4,10.43
227,1,36.95
227,2,26.63
228,12,69.54
229,2,1.32
230,1,5.07
230,26,5.63
231,209,101.12
231,1,103.64
231,15,118.99
232,1,12.40
232,7,18.01
233,16,13.52
233,156,18.01
234,1,35.38
234,31,29.56
235,2,45.95
236,1,24.22
237,3,7.73
238,8,9.64
238,10,6.67
239,3,15.74
240,19,6.74
241,7,16.74
242,3,10.46
242,19,9.03
243,1,49.81
243,2,62.44
243,6,73.32
244,17,14.58
244,2,15.70
245,1,24.60
245,2,18.58
245,4,21.90
245,7,20.76
246,32,8.16
246,4,12.92
246,38,9.45
246,24,11.24
246,93,9.57
247,341,5.55
247,38,4.70
248,1,128.95
248,4,110.10
248,12,130.79
249,1,38.85
249,395,43.82
250,67,14.45
250,3,14.88
250,294,14.72
251,1,38.40
251,4,49.09
252,2,2.28
252,59,2.97
253,1,8.21
253,3,10.16
253,62,7.70
254,216,7.44
255,1,76.67
255,4,48.84
256,3,74.33
257,12,35.46
257,4,35.72
258,1,42.26
258,21,34.69
259,8,35.03
259,19,38.46
260,25,11.27
260,3,8.50
260,1,7.67
261,1,16.69
262,121,12.42
262,3,13.70
262,17,12.06
262,1,13.35
263,314,65.98
263,6,77.03
263,119,62.38
264,86,5.45
265,23,15.28
266,3,13.62
266,1,9.30
266,163,13.36
267,307,51.48
267,4,58.80
268,3,11.56
268,157,14.76
269,1,46.28
269,4,44.54
269,17,44.12
270,148,9.66
270,5,13.16
271,103,81.68
272,2,16.57
273,1,18.43
274,2,176.22
274,91,213.49
274,15,212.69
275,1,6.50
275,2,5.20
275,9,5.42
275,44,4.68
275,26,4.28
276,1,56.33
276,33,49.39
277,7,33.95
278,17,43.22
278,21,53.08
279,17,28.05
279,230,24.49
280,1,5.55
280,55,8.82
281,6,133.71
282,1,4.60
282,2,5.34
282,15,7.17
282,147,4.88
282,31,6.24
283,159,38.74
284,5,10.36
285,19,12.44
285,350,16.48
286,9,9.02
286,2,12.98
287,1,39.60
287,87,40.20
288,18,16.29
288,4,12.71
289,1,48.10
290,16,87.23
290,2,92.18
290,12,130.23
291,9,65.93
291,1,74.34
292,4,11.00
293,4,40.11
294,1,20.30
294,7,21.86
294,142,23.14
294,23,26.55
295,1,23.87
296,16,16.48
296,3,21.08
297,2,13.47
298,11,8.83
298,29,9.45
299,5,21.09
299,205,20.70
300,18,4.04
300,5,2.55
301,3,16.78
301,4,13.71
302,1,6.15
303,1,160.57
303,164,243.82
304,8,5.59
304,4,6.53
305,3,13.18
306,1,4.17
306,2,4.50
307,140,17.83
308,4,7.41
309,3,14.96
309,2,18.45
309,203,18.58
310,8,18.86
311,96,84.08
311,1,106.24
312,12,13.77
313,73,8.00
313,2,6.40
314,104,4.54
314,1,3.66
314,21,4.51
314,7,5.79
315,19,11.46
315,22,13.99
316,1,3.72
316,12,2.71
316,5,2.91
316,14,4.10
317,39,15.89
318,1,11.70
319,111,137.90
320,1,10.70
320,107,8.89
320,6,11.34
321,32,17.69
322,10,7.51
323,1,6.07
323,2,7.03
323,4,4.87
323,141,7.54
323,214,6.83
324,6,6.18
325,13,58.55
326,3,9.61
326,15,5.89
327,1,164.87
327,35,223.23
327,13,225.34
327,251,223.48
328,1,53.85
328,10,50.59
328,5,43.59
328,79,63.25
329,1,13.81
329,386,10.18
329,4,8.95
330,195,4.16
331,1,8.76
331,6,7.34
332,2,6.61
333,10,36.87
333,21,29.82
334,4,27.40
335,399,14.39
336,8,24.61
336,20,17.50
337,2,20.87
337,3,14.51
337,31,19.24
338,2,28.45
338,3,19.95
339,338,14.78
339,4,13.18
340,1,14.91
341,1,10.51
341,2,10.95
341,11,9.66
342,11,29.55
342,92,27.11
343,11,13.64
343,4,14.18
344,1,21.66
344,3,17.60
345,9,21.78
346,3,16.06
347,288,15.76
347,8,21.16
347,160,16.62
347,239,20.62
348,1,32.82
348,2,24.05
349,43,15.26
350,10,43.32
350,6,41.03
351,1,16.72
351,26,14.65
352,1,14.23
352,2,14.46
352,5,14.89
352,10,12.96
352,11,10.66
353,112,27.45
353,4,20.90
354,9,10.94
354,1,8.78
355,352,16.38
355,1,19.99
355,2,20.96
355,3,20.54
355,369,15.40
356,2,68.05
356,190,51.23
357,250,78.32
357,3,82.88
358,121,9.67
358,4,11.22
359,1,6.95
359,6,7.52
359,39,5.18
359,8,5.89
359,91,6.85
360,2,5.09
361,1,10.86
361,27,14.06
361,33,12.96
362,10,8.68
363,393,30.45
364,1,59.84
365,2,11.25
365,7,15.65
365,14,13.37
365,25,11.67
365,58,15.86
366,4,23.47
367,4,29.90
367,79,40.38
368,1,30.03
368,2,30.02
368,118,44.52
368,14,39.17
369,116,39.29
369,15,38.12
370,1,49.81
370,6,44.25
371,24,11.29
371,1,12.39
371,2,14.80
371,22,9.67
372,2,16.05
373,4,49.16
374,2,8.28
374,3,7.99
374,54,8.07
375,4,40.59
376,56,10.05
376,2,10.91
376,3,10.35
376,173,9.07
377,3,50.77
377,87,56.49
378,312,30.31
379,21,16.43
380,2,10.62
381,16,42.33
381,1,41.54
382,1,11.57
382,2,16.27
382,20,17.64
382,7,18.05
383,8,25.99
383,1,16.61
384,368,4.82
384,2,4.53
385,232,267.41
386,1,6.77
387,2,15.16
388,10,73.41
389,6,13.15
389,287,11.95
390,8,3.55
390,3,2.69
391,1,10.61
392,1,58.08
392,18,96.16
392,3,86.69
393,1,15.19
393,3,17.24
393,12,17.59
393,183,16.47
394,10,8.04
394,3,9.01
395,1,38.37
395,4,40.02
396,1,164.57
396,41,169.01
397,65,19.07
397,13,19.12
398,74,31.99
399,97,22.42
399,2,20.49
400,1,21.95
400,3,14.45
401,1,23.24
402,2,51.57
403,2,15.08
403,26,15.65
404,290,20.00
404,47,24.31
405,8,33.59
406,1,7.79
406,3,5.65
406,29,7.10
407,1,13.37
407,5,18.68
407,38,12.40
407,12,16.54
407,27,19.50
408,1,41.53
408,4,64.31
409,1,12.09
409,2,9.40
409,13,10.17
409,497,7.96
409,215,11.73
410,1,30.85
410,2,30.74
411,1,7.66
412,1,29.18
412,2,39.68
412,3,31.41
413,1,19.92
413,5,25.60
414,1,83.48
414,5,81.89
415,120,33.89
415,17,36.17
415,2,28.61
415,5,39.34
416,1,22.40
416,242,16.67
416,5,15.99
416,46,22.45
417,408,62.50
417,2,59.64
417,35,52.92
418,181,81.41
419,421,60.63
419,135,48.81
420,387,28.10
420,7,28.30
420,9,31.96
420,30,26.01
420,319,32.15
421,1,65.98
421,2,62.97
421,196,62.17
421,491,47.27
421,24,62.47
422,194,8.93
422,171,10.09
423,2,31.33
423,42,34.67
423,15,27.61
424,20,111.17
425,1,103.15
426,16,42.32
426,1,44.73
426,2,40.19
427,402,6.21
427,13,8.32
428,26,24.54
428,4,23.65
429,17,10.12
429,162,16.55
429,2,14.46
430,1,7.47
431,6,13.97
432,1,32.14
433,6,4.69
434,1,29.34
434,61,23.26
434,6,21.87
434,9,22.49
435,217,60.60
436,11,18.94
436,317,14.17
437,1,4.23
437,2,4.73
438,1,13.91
438,2,10.26
438,6,9.97
438,89,12.49
438,30,11.96
439,18,5.37
440,1,17.27
440,3,19.62
441,91,7.06
441,4,5.42
442,2,17.53
442,229,19.06
442,232,24.06
442,11,23.52
442,12,18.26
443,40,22.05
443,36,28.16
444,1,4.84
444,6,5.62
445,5,33.42
446,2,13.01
446,4,16.11
446,261,12.99
446,5,13.53
446,7,17.24
447,105,13.98
448,1,29.19
449,6,5.07
450,10,17.59
451,3,38.25
451,7,40.10
452,1,31.30
453,1,9.63
454,122,143.67
454,2,124.72
454,68,151.95
454,7,158.35
455,4,6.75
456,1,12.61
456,2,16.91
456,3,15.11
456,8,18.94
456,302,13.94
457,1,5.93
457,2,5.80
457,13,5.05
457,54,6.12
458,116,53.21
458,6,55.64
459,488,10.34
459,26,8.94
460,1,21.59
460,5,20.98
461,2,37.70
462,8,23.69
462,5,26.27
463,1,19.90
464,3,34.10
464,6,42.76
465,223,16.47
466,1,25.29
467,2,23.99
467,28,23.62
467,38,26.50
468,1,17.02
469,1,2.51
469,34,3.67
470,1,11.43
471,6,10.21
472,289,6.93
472,21,8.62
473,377,26.60
473,26,30.53
474,1,4.62
474,11,6.35
475,6,15.41
476,33,37.58
476,2,27.91
476,1,28.65
476,72,40.65
476,41,24.81
477,7,40.30
478,48,11.34
478,1,9.56
478,2,10.45
478,9,11.56
479,225,84.61
479,137,97.28
480,1,9.07
480,20,9.37
480,77,12.36
480,17,11.13
481,1,49.15
481,4,45.03
482,2,8.21
483,24,13.27
484,21,3.06
484,237,2.54
485,1,30.45
486,196,10.49
487,17,34.23
487,3,36.38
487,43,35.75
488,70,25.45
488,7,19.50
489,1,11.20
489,411,11.54
489,5,16.11
489,51,11.43
490,87,33.61
491,95,10.53
492,9,14.06
493,1,8.22
493,4,9.80
494,2,32.61
495,2,30.80
496,59,2.67
496,14,2.25
496,23,2.83
497,224,27.06
497,1,22.92
497,28,27.77
498,232,82.83
498,377,82.19
499,10,19.43
500,8,11.72
500,68,10.44
501,9,3.39
501,171,4.21
502,235,14.58
503,6,11.34
504,15,11.32
505,105,14.60
505,12,11.15
506,10,37.64
507,23,27.19
508,1,9.32
508,137,10.50
509,9,11.73
509,2,13.83
509,379,9.81
510,2,11.96
511,9,16.95
511,19,13.97
511,4,16.39
511,1,13.18
512,24,12.46
512,5,19.18
513,2,2.71
514,98,12.34
514,236,15.90
515,1,9.17
515,2,7.66
516,1,8.66
516,387,9.13
516,6,12.19
516,14,10.12
516,16,9.09
517,1,13.45
518,1,31.82
518,78,28.82
519,2,37.68
519,13,38.39
520,57,11.37
520,98,8.18
520,2,12.27
520,4,10.11
521,1,20.33
521,19,19.63
522,305,53.21
522,12,63.14
523,2,29.11
523,15,28.52
524,28,9.86
525,1,32.69
525,2,44.26
525,6,51.92
525,14,46.56
525,467,46.76
526,1,23.99
527,1,3.95
527,2,2.56
528,2,25.20
529,2,114.46
529,4,111.81
529,6,87.92
529,54,80.91
529,27,76.37
530,1,9.42
530,134,8.31
530,9,8.84
530,203,9.12
530,17,8.34
531,104,11.17
531,41,12.48
532,2,16.11
532,99,17.40
533,1,21.75
533,122,24.49
533,2,19.26
533,395,18.95
534,1,23.12
534,2,16.86
535,1,9.28
535,2,7.16
536,1,11.35
537,57,15.94
537,1,16.52
538,387,40.38
538,76,24.27
539,1,5.00
539,5,4.00
539,243,4.08
539,118,4.87
539,24,3.28
540,3,47.18
541,13,17.25
541,7,17.23
542,1,32.99
542,18,38.70
543,81,19.24
543,34,20.43
543,3,14.66
544,8,24.90
545,38,10.80
545,31,10.50
546,9,27.53
547,12,16.38
547,4,13.51
548,16,29.24
548,11,26.86
548,5,22.95
549,2,10.56
549,19,10.29
549,31,7.81
550,1,27.97
551,22,2.10
552,57,21.01
552,5,25.16
553,61,44.25
554,16,4.52
555,1,31.04
555,67,38.12
556,5,70.71
556,6,58.18
557,2,6.90
558,42,115.00
558,4,133.25
559,8,15.19
559,10,9.39
559,2,15.09
559,254,15.10
560,1,23.89
561,1,21.58
561,2,28.26
562,104,18.25
562,1,13.18
562,422,17.39
563,1,9.53
563,30,11.43
564,234,20.15
564,132,14.53
564,12,16.45
565,8,21.43
565,2,19.54
566,1,35.46
567,81,40.69
567,3,53.60
567,1,43.82
568,1,29.54
568,21,25.09
569,426,16.99
570,1,6.89
570,35,7.80
571,2,27.52
572,1,25.80
572,36,30.16
573,5,43.40
573,15,56.22
574,1,20.66
574,4,15.20
574,5,24.67
575,1,7.46
576,328,27.39
576,2,30.90
577,1,9.30
577,92,11.54
578,2,16.70
578,6,19.18
579,1,13.12
579,3,18.30
579,14,13.82
580,1,45.03
581,4,39.29
581,6,43.89
582,6,5.55
583,1,17.88
583,238,16.99
584,20,8.00
584,61,8.74
585,2,24.47
585,310,23.96
586,57,14.90
586,2,13.76
586,252,14.13
586,5,17.99
587,1,25.35
587,4,28.70
588,5,31.96
589,77,28.47
590,6,16.67
591,1,7.30
592,1,33.99
592,3,24.86
592,41,28.90
592,88,23.06
592,442,31.88
593,392,3.44
593,1,4.69
594,24,13.96
594,1,11.75
594,4,14.79
594,6,15.13
595,1,40.68
595,2,51.63
595,3,31.50
595,9,41.92
595,10,47.44
596,2,34.45
596,35,49.84
596,228,33.55
597,1,23.06
598,176,54.35
598,70,63.79
599,1,3.45
599,31,2.98
600,472,6.54
600,1,7.79
601,3,10.24
602,197,29.08
603,18,13.00
604,1,35.08
604,5,33.68
605,24,61.30
606,2,52.68
606,388,60.78
607,75,26.82
607,23,21.53
608,1,33.41
608,5,22.99
608,6,36.51
608,7,35.30
608,22,25.12
609,18,69.00
609,22,63.84
610,2,45.88
610,3,40.14
611,1,28.78
612,1,1.69
612,60,1.74
613,2,4.16
614,1,11.50
614,276,12.93
614,9,13.29
614,7,16.44
615,4,15.38
616,8,55.90
616,1,48.96
617,230,13.01
618,11,26.68
619,1,13.41
619,2,12.35
619,3,14.42
619,6,17.06
620,20,3.35
620,5,4.77
621,60,88.28
622,90,12.30
622,13,12.64
623,1,20.14
623,158,19.50
624,41,14.32
624,11,12.14
625,196,46.23
625,7,71.46
626,1,33.90
626,3,28.13
627,6,42.45
628,1,4.98
629,1,20.85
629,11,20.69
629,7,21.09
630,15,16.48
631,5,42.12
631,7,48.54
632,1,22.45
632,2,18.03
632,14,30.12
632,49,29.36
632,183,18.76
633,8,38.16
633,236,48.57
633,14,50.02
633,27,44.82
633,30,51.32
634,1,9.83
634,4,11.63
635,163,57.80
635,5,41.67
636,220,51.93
636,4,60.98
636,438,60.01
637,1,31.96
637,21,28.69
638,9,39.74
639,5,5.32
639,15,4.92
640,2,42.30
640,301,55.58
641,1,31.76
641,3,26.89
642,93,8.85
643,5,27.43
644,1,26.16
644,316,25.05
644,21,30.19
644,31,29.28
645,1,29.62
645,3,27.47
645,396,24.29
645,5,20.64
646,3,25.74
646,4,17.72
647,8,50.33
647,33,58.40
647,6,45.89
648,31,10.15
649,19,10.12
650,248,6.66
650,211,6.75
651,2,80.84
651,4,77.55
652,1,95.96
652,6,134.31
652,45,117.12
652,49,145.44
652,317,121.57
653,192,108.72
653,1,125.31
653,3,109.55
653,5,116.34
653,123,126.72
654,121,5.49
655,123,9.31
656,1,8.14
657,76,6.32
658,2,12.57
658,21,10.81
659,20,51.01
660,3,31.64
661,1,15.22
661,74,13.02
661,22,14.27
661,15,16.52
662,1,24.56
663,20,10.91
663,6,10.34
663,22,8.49
664,2,5.64
664,3,7.32
665,1,38.43
665,246,46.07
666,2,35.25
667,42,58.29
668,3,85.47
668,20,116.45
668,4,71.27
669,2,26.78
669,5,23.58
669,11,22.65
669,13,19.53
670,1,22.22
670,2,16.27
671,1,11.47
671,2,9.89
671,3,9.69
671,5,7.43
671,337,7.13
672,1,16.89
672,2,13.19
672,4,13.09
672,5,16.45
672,24,17.26
673,113,10.91
674,42,3.51
674,51,4.48
675,5,35.72
676,1,48.98
676,84,77.58
676,189,56.61
677,7,54.09
678,9,5.60
678,46,5.22
678,247,7.04
679,32,39.10
679,1,48.69
680,29,31.87
680,15,33.08
681,8,8.75
682,2,16.43
682,53,12.66
682,109,12.25
683,2,16.22
684,237,8.53
685,89,24.72
685,6,28.48
686,7,120.82
687,240,26.74
688,1,37.52
688,14,35.41
688,17,44.62
689,194,61.77
689,2,69.56
689,86,93.06
690,55,57.20
691,1,55.34
691,3,57.45
691,6,52.51
692,387,32.03
692,4,26.42
692,105,35.02
692,117,36.90
692,55,26.19
693,2,31.72
694,16,13.96
694,212,17.08
695,16,59.37
696,1,29.95
696,3,23.42
697,8,12.68
697,25,13.23
698,1,23.38
698,6,19.02
699,2,62.64
699,179,40.16
700,1,28.46
700,3,28.20
701,1,19.71
702,33,73.78
703,2,3.80
703,5,5.14
704,1,20.44
704,3,21.46
705,1,18.50
706,4,42.83
707,1,3.19
708,1,8.35
709,11,23.87
710,94,6.98
710,7,8.78
711,4,10.18
712,1,33.99
713,1,11.91
713,26,13.55
713,47,16.52
713,7,18.38
714,131,11.18
714,46,14.32
715,1,12.07
715,212,10.12
716,1,18.89
716,2,19.07
716,3,17.32
716,4,24.72
717,23,29.25
718,184,14.48
719,28,23.40
719,182,22.50
720,1,47.80
720,414,35.04
721,5,16.39
722,1,41.04
723,1,28.86
724,67,8.61
724,38,7.22
725,5,32.66
726,256,2.87
726,1,2.66
726,2,2.84
726,4,1.86
727,42,5.62
727,7,6.15
728,78,49.60
729,70,3.62
729,15,3.39
730,9,5.66
730,138,6.83
730,3,7.72
731,1,11.54
731,3,9.34
732,282,27.42
732,71,20.32
733,272,13.63
733,3,19.30
734,19,29.26
735,15,57.29
736,8,7.58
736,147,11.06
737,16,41.23
737,203,37.77
737,38,33.42
738,112,31.15
739,104,34.39
739,202,49.55
739,2,49.74
740,8,33.41
740,1,31.57
740,4,23.61
740,71,24.22
741,10,37.15
742,4,31.57
742,6,22.04
743,241,11.26
743,11,15.28
744,3,65.10
745,83,55.63
746,5,5.82
747,248,20.20
748,1,18.30
748,74,14.97
748,38,20.31
749,3,17.86
749,36,21.78
750,6,28.91
751,62,14.23
751,1,11.01
751,253,13.48
751,6,14.13
752,11,87.68
752,13,76.23
752,294,97.59
752,7,69.62
753,1,23.97
753,2,16.96
753,229,18.14
754,28,2.28
755,15,28.09
756,16,4.22
756,33,2.87
756,182,3.30
756,6,3.19
757,1,15.47
758,84,12.29
759,4,42.96
760,2,88.73
760,18,59.14
761,1,24.32
761,2,20.32
762,1,39.05
762,2,39.74
762,3,28.68
763,123,12.85
763,63,16.39
764,3,10.17
764,6,11.49
765,7,36.57
766,3,35.07
766,185,37.99
766,19,38.52
766,52,39.32
767,3,19.66
768,1,21.67
769,1,4.76
769,58,3.13
769,5,5.09
770,117,3.94
771,1,33.46
772,87,3.91
773,10,3.49
773,5,3.20
774,20,5.47
775,1,25.15
775,3,31.74
775,36,23.21
775,6,30.06
775,26,22.00
776,1,52.25
777,1,9.27
777,117,10.79
778,1,24.03
778,11,20.29
779,17,3.87
779,3,3.96
780,1,4.29
780,2,4.11
780,79,3.65
781,8,3.24
781,10,3.24
782,1,37.73
782,67,32.12
782,485,37.04
783,4,21.02
784,17,17.45
784,275,22.94
785,1,30.86
786,19,22.17
786,6,14.45
787,1,24.02
788,1,103.93
789,2,48.52
789,10,55.72
790,1,92.78
791,33,37.45
791,34,38.58
791,22,28.12
791,24,28.45
791,159,27.15
792,1,3.85
792,10,3.36
792,154,3.58
793,1,28.10
793,10,20.94
793,115,25.46
793,380,26.59
794,2,32.09
794,3,47.83
795,168,19.25
795,9,17.07
795,4,15.06
796,4,4.30
797,4,21.16
798,185,82.28
799,1,16.19
799,13,16.02
800,1,27.25
800,2,20.58
800,197,22.50
801,1,5.00
801,2,6.03
801,37,6.53
801,44,5.39
801,31,4.47
802,1,122.65
802,2,78.03
803,1,14.02
803,3,15.33
803,5,19.76
803,199,13.77
803,445,20.56
804,1,10.88
805,2,24.38
805,5,24.57
806,8,6.54
807,3,4.12
808,1,24.50
808,2,33.90
808,14,33.28
808,18,34.88
808,93,33.22
809,1,15.37
809,5,16.22
810,40,20.35
810,9,12.16
811,369,129.75
811,3,122.95
811,4,129.71
811,5,120.32
812,51,21.96
812,5,25.32
812,478,33.26
813,32,7.30
813,106,7.06
813,27,5.44
813,52,5.27
814,281,41.98
815,2,14.54
816,1,13.86
816,2,17.20
816,21,17.42
817,26,12.48
817,14,14.94
818,216,7.49
818,26,10.87
819,4,61.62
820,12,75.68
821,1,24.23
821,3,16.05
821,5,24.63
822,500,29.88
823,1,13.12
824,24,35.83
824,1,45.91
824,7,33.81
824,79,41.84
825,4,27.43
826,3,21.58
827,1,31.25
828,1,12.60
828,4,15.06
829,134,9.22
829,1,12.45
829,3,10.66
829,6,9.99
830,24,41.46
830,208,47.39
831,2,79.22
831,4,68.16
832,52,34.27
833,3,11.55
834,1,35.90
834,2,38.33
834,346,38.39
835,1,47.66
835,2,47.74
835,79,28.85
835,39,47.63
836,18,19.50
836,108,20.83
837,51,11.30
838,80,13.23
838,3,13.37
839,1,22.82
839,38,26.66
840,392,37.82
840,154,50.13
840,13,36.07
841,1,43.04
841,2,62.58
842,9,33.15
842,4,37.24
